Year,Nepalese Month,Western Timeline,Y-o-Y Inflation Rate (%)
2023,Bhadra,Mid-Aug to Mid-Sep,8.17
2023,Ashoj,Mid-Sep to Mid-Oct,7.5
2023,Kattik,Mid-Oct to Mid-Nov,5.38
2023,Mangsir,Mid-Nov to Mid-Dec,4.95
2023,Poush,Mid-Dec to Mid-Jan,5.26
2024,Magh,Mid-Jan to Mid-Feb,5.01
2024,Fagun,Mid-Feb to Mid-Mar,4.82
2024,Chaitra,Mid-Mar to Mid-Apr,4.61
2024,Baishakh,Mid-Apr to Mid-May,4.42
2024,Jestha,Mid-May to Mid-Jun,4.17
2024,Asar,Mid-Jun to Mid-Jul,3.57
2024,Srawan,Mid-Jul to Mid-Aug,3.42
2024,Bhadra,Mid-Aug to Mid-Sep,3.85
2024,Ashoj,Mid-Sep to Mid-Oct,4.82
2024,Kattik,Mid-Oct to Mid-Nov,5.22
2024,Mangsir,Mid-Nov to Mid-Dec,4.85
2024,Poush,Mid-Dec to Mid-Jan,4.4
2025,Magh,Mid-Jan to Mid-Feb,4.11
2025,Fagun,Mid-Feb to Mid-Mar,4.28
2025,Chaitra,Mid-Mar to Mid-Apr,4.5
2025,Baishakh,Mid-Apr to Mid-May,4.32
2025,Jestha,Mid-May to Mid-Jun,4.25
2025,Asar,Mid-Jun to Mid-Jul,4.38
2025,Srawan,Mid-Jul to Mid-Aug,1.68
2025,Bhadra,Mid-Aug to Mid-Sep,1.87
2025,Ashoj,Mid-Sep to Mid-Oct,1.47
2025,Kattik,Mid-Oct to Mid-Nov,1.11
2025,Mangsir,Mid-Nov to Mid-Dec,1.63
2025,Poush,Mid-Dec to Mid-Jan,2.42
2026,Magh,Mid-Jan to Mid-Feb,3.25
2026,Fagun,Mid-Feb to Mid-Mar,3.62
2026,Chaitra,Mid-Mar to Mid-Apr,4.47
